Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
A1CF,"Rna binding
Nucleic acid binding
Protein binding
Mrna binding
Enzyme-substrate adaptor activity
Single-stranded rna binding","Mrna processing
Protein stabilization
Cytidine to uridine editing
Mrna modification
Negative regulation of nuclear-transcribed mrna catabolic process, nonsense-mediated decay
Embryo implantation
Mrna localization resulting in post-transcriptional regulation of gene expression","Nucleus
Cytoplasm
Endoplasmic reticulum
Nucleoplasm
Apolipoprotein b mrna editing enzyme complex
Mrna editing complex",ENSG00000148584,APOBEC1 complementation factor,protein_coding
ABCA1,"Atp binding
Atp hydrolysis activity
Abc-type transporter activity
Protein binding
Atpase-coupled intramembrane lipid transporter activity
Phosphatidylcholine binding
Atpase binding
Signaling receptor binding
Atpase-coupled transmembrane transporter activity
Small gtpase binding
Phosphatidylcholine floppase activity
Phosphatidylserine floppase activity
Cholesterol binding
Phospholipid transporter activity
High-density lipoprotein particle binding
Protein transmembrane transporter activity
Syntaxin binding
Apolipoprotein binding
Apolipoprotein a-i binding
Apolipoprotein a-i receptor activity
Sphingolipid floppase activity
Cholesterol transfer activity
Floppase activity","Transmembrane transport
Lipid transport
Cholesterol metabolic process
Regulation of cdc42 protein signal transduction
Response to laminar fluid shear stress
Cholesterol efflux
Export across plasma membrane
Cholesterol homeostasis
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
High-density lipoprotein particle assembly
Reverse cholesterol transport
Peptide secretion
Phagocytosis, engulfment
Lysosome organization
G protein-coupled receptor signaling pathway
Response to nutrient
Protein secretion
Response to xenobiotic stimulus
Negative regulation of macrophage derived foam cell differentiation
Positive regulation of cholesterol efflux
Negative regulation of cholesterol storage
Phospholipid transport
Endosomal transport
Signal release
Cholesterol transport
Response to nutrient levels
Intracellular cholesterol transport
Response to vitamin b3
Phospholipid efflux
Apolipoprotein a-i-mediated signaling pathway
Lipoprotein metabolic process
Lipoprotein biosynthetic process
Phospholipid translocation
Establishment of localization in cell
Phospholipid homeostasis
Platelet dense granule organization
Cellular response to lipopolysaccharide
Cellular response to retinoic acid
Cellular response to cytokine stimulus
Cellular response to cholesterol
Cellular response to low-density lipoprotein particle stimulus
Cellular response to xenobiotic stimulus
Protein transmembrane transport
Regulation of high-density lipoprotein particle assembly
Positive regulation of high-density lipoprotein particle assembly
Sphingolipid translocation","Membrane
Plasma membrane
Endosome
Intracellular membrane-bounded organelle
Endoplasmic reticulum membrane
Perinuclear region of cytoplasm
Membrane raft
Golgi apparatus
External side of plasma membrane
Cell surface
Basolateral plasma membrane
Endocytic vesicle
Phagocytic vesicle
Intracellular vesicle",ENSG00000165029,ATP binding cassette subfamily A member 1,protein_coding
ABCB10,"Atp binding
Atp hydrolysis activity
Abc-type transporter activity
Protein binding
Protein homodimerization activity
Identical protein binding","Transmembrane transport
Heme biosynthetic process
Positive regulation of heme biosynthetic process
Mitochondrial transport
Positive regulation of erythrocyte differentiation
Erythrocyte development
Mitochondrial unfolded protein response
Positive regulation of hemoglobin biosynthetic process","Membrane
Mitochondrion
Mitochondrial membrane
Mitochondrial inner membrane",ENSG00000135776,ATP binding cassette subfamily B member 10,protein_coding
ABCB9,"Atp binding
Atp hydrolysis activity
Abc-type transporter activity
Abc-type peptide transporter activity
Protein binding
Transmembrane transporter activity
Protein homodimerization activity
Atpase-coupled transmembrane transporter activity
Abc-type oligopeptide transporter activity","Transmembrane transport
Peptide transport
Protein transport
Peptide metabolic process
Oligopeptide transmembrane transport","Membrane
Lysosomal membrane
Endoplasmic reticulum membrane
Intracellular membrane-bounded organelle
Lysosome",ENSG00000150967,ATP binding cassette subfamily B member 9,protein_coding
ABCC1,"Atp binding
Transmembrane transporter activity
Atp hydrolysis activity
Abc-type transporter activity
Hydrolase activity
Abc-type glutathione s-conjugate transporter activity
Sphingolipid transporter activity
Xenobiotic transmembrane transporter activity
Abc-type vitamin b12 transporter activity
Efflux transmembrane transporter activity
Abc-type xenobiotic transporter activity
Atpase-coupled transmembrane transporter activity
Atpase-coupled inorganic anion transmembrane transporter activity
Glutathione transmembrane transporter activity
Carboxylic acid transmembrane transporter activity
Atpase-coupled lipid transmembrane transporter activity
Nucleotide binding","Transmembrane transport
Lipid transport
Monoatomic anion transmembrane transport
Sphingolipid biosynthetic process
Positive regulation of inflammatory response
Cellular response to amyloid-beta
Xenobiotic metabolic process
Cellular response to oxidative stress
Cobalamin transport
Transport across blood-brain barrier
Xenobiotic transport
Export across plasma membrane
Xenobiotic transport across blood-brain barrier
Leukotriene transport
Response to xenobiotic stimulus
Heme catabolic process
Phospholipid translocation
Cell chemotaxis
Transepithelial transport
Carboxylic acid transmembrane transport
Leukotriene metabolic process
Glutathione transmembrane transport
Cyclic nucleotide transport
Sphingolipid translocation","Membrane
Plasma membrane
Extracellular exosome
Basolateral plasma membrane
Apical plasma membrane
Lateral plasma membrane
Basal plasma membrane",ENSG00000278183,ATP binding cassette subfamily C member 1 (ABCC1 blood group),protein_coding
ABCC5,"Atp binding
Atp hydrolysis activity
Abc-type transporter activity
Heme transmembrane transporter activity
Atpase-coupled transmembrane transporter activity
Efflux transmembrane transporter activity
Xenobiotic transmembrane transporter activity
Abc-type xenobiotic transporter activity
Atpase-coupled inorganic anion transmembrane transporter activity
Purine nucleotide transmembrane transporter activity
Organic anion transmembrane transporter activity
Macromolecule transmembrane transporter activity
Glutathione transmembrane transporter activity
Carbohydrate derivative transmembrane transporter activity
Nucleotide binding","Transmembrane transport
Monoatomic anion transmembrane transport
Xenobiotic transport
Hyaluronan biosynthetic process
Xenobiotic metabolic process
Transport across blood-brain barrier
Export across plasma membrane
Xenobiotic transmembrane transport
Camp transport
Purine nucleotide transport
Glutathione transmembrane transport
Heme transmembrane transport
Cgmp transport
Folate transmembrane transport","Membrane
Plasma membrane
Endosome membrane
Endosome
Golgi apparatus
Apical plasma membrane
Basolateral plasma membrane
Golgi lumen",ENSG00000114770,ATP binding cassette subfamily C member 5,protein_coding
ABCC8,"Atp binding
Atp hydrolysis activity
Abc-type transporter activity
Sulfonylurea receptor activity
Nucleotide binding
Potassium channel activity
Transmembrane transporter binding
Atpase-coupled transmembrane transporter activity
Atp-activated inward rectifier potassium channel activity
Atpase-coupled monoatomic cation transmembrane transporter activity
Protein binding
Adp binding","Transmembrane transport
Potassium ion transport
Potassium ion transmembrane transport
Inorganic cation transmembrane transport
Potassium ion import across plasma membrane
Action potential
Intracellular glucose homeostasis
Female pregnancy
Memory
Visual learning
Response to ph
Response to xenobiotic stimulus
Response to zinc ion
Negative regulation of low-density lipoprotein particle clearance
Negative regulation of angiogenesis
Cellular response to nutrient levels
Response to lipopolysaccharide
Positive regulation of tumor necrosis factor production
Response to insulin
Positive regulation of insulin secretion involved in cellular response to glucose stimulus
Positive regulation of potassium ion transport
Negative regulation of insulin secretion
Negative regulation of neurogenesis
Neuromuscular process
Negative regulation of glial cell proliferation
Glutamate secretion, neurotransmission
Negative regulation of neuroblast migration
Positive regulation of uterine smooth muscle relaxation
Positive regulation of tight junction disassembly
Negative regulation of blood-brain barrier permeability","Membrane
Plasma membrane
Protein-containing complex
Inward rectifying potassium channel
Potassium ion-transporting atpase complex
Synaptic vesicle membrane
Sarcolemma
Presynaptic membrane",ENSG00000006071,ATP binding cassette subfamily C member 8,protein_coding
ABCF3,"Atp binding
Atp hydrolysis activity
Protein binding
Cadherin binding",Defense response to virus,Membrane,ENSG00000161204,ATP binding cassette subfamily F member 3,protein_coding
ABCG1,"Atp binding
Atp hydrolysis activity
Abc-type transporter activity
Protein binding
Protein dimerization activity
Protein homodimerization activity
Protein heterodimerization activity
Toxin transmembrane transporter activity
Cholesterol binding
Phospholipid binding
Phosphatidylcholine floppase activity
Cholesterol transfer activity
Floppase activity
Adp binding
Abc-type sterol transporter activity","Transmembrane transport
Lipid transport
Lipid translocation
Positive regulation of protein secretion
Cholesterol efflux
Cholesterol homeostasis
Positive regulation of amyloid-beta formation
Cholesterol metabolic process
High-density lipoprotein particle remodeling
Reverse cholesterol transport
Negative regulation of macrophage derived foam cell differentiation
Negative regulation of cholesterol storage
Intracellular cholesterol transport
Phospholipid efflux
Phospholipid homeostasis
Low-density lipoprotein particle remodeling
Positive regulation of cholesterol biosynthetic process
Regulation of cholesterol metabolic process
Response to lipid
Glycoprotein transport
Amyloid precursor protein catabolic process
Positive regulation of cholesterol efflux
Negative regulation of lipid storage
Cholesterol transport
Cellular response to high density lipoprotein particle stimulus","Membrane
Plasma membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Mitochondrion
Golgi apparatus
Golgi membrane
External side of plasma membrane
Recycling endosome
Endosome",ENSG00000160179,ATP binding cassette subfamily G member 1,protein_coding
ABHD10,"Hydrolase activity
Protein binding
Palmitoyl-(protein) hydrolase activity
Hydrolase activity, hydrolyzing o-glycosyl compounds
Mycophenolic acid acyl-glucuronide esterase activity","Protein depalmitoylation
Cellular glucuronidation
Glucuronoside catabolic process","Mitochondrion
Mitochondrial matrix
Cytosol",ENSG00000144827,"abhydrolase domain containing 10, depalmitoylase",protein_coding
ABHD17A,"Hydrolase activity
Protein binding
Palmitoyl-(protein) hydrolase activity","Negative regulation of nlrp3 inflammasome complex assembly
Protein localization to membrane
Protein depalmitoylation
Regulation of postsynapse organization
Negative regulation of protein localization to microtubule
Positive regulation of protein localization to endosome","Nuclear speck
Plasma membrane
Membrane
Cell projection
Endosome membrane
Endosome
Intracellular membrane-bounded organelle
Synapse
Postsynaptic membrane
Dendritic spine
Postsynaptic density membrane
Postsynaptic density
Recycling endosome membrane
Postsynaptic recycling endosome membrane
Glutamatergic synapse",ENSG00000129968,"abhydrolase domain containing 17A, depalmitoylase",protein_coding
ABHD5,"Peptidase activity
Transferase activity
Hydrolase activity
Protein binding
Acyltransferase activity
1-acylglycerol-3-phosphate o-acyltransferase activity
Lysophosphatidic acid acyltransferase activity
Lipase activator activity
Carboxylic ester hydrolase activity","Proteolysis
Phospholipid biosynthetic process
Cell differentiation
Fatty acid metabolic process
Negative regulation of sequestering of triglyceride
Positive regulation of triglyceride catabolic process
Positive regulation of lipid catabolic process
Phosphatidic acid biosynthetic process
Lipid homeostasis","Cytoplasm
Nucleoplasm
Cytosol
Intracellular membrane-bounded organelle
Lipid droplet
Mitochondrion",ENSG00000011198,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",protein_coding
ABHD6,"Catalytic activity
Hydrolase activity
Protein binding
Acylglycerol lipase activity
Phospholipase activity","Lipid metabolic process
Negative regulation of cold-induced thermogenesis
Arachidonic acid metabolic process
Monoacylglycerol catabolic process
Acylglycerol catabolic process
Lysobisphosphatidic acid metabolic process
Phospholipid catabolic process
Negative regulation of cell migration
Positive regulation of lipid biosynthetic process
Long-term synaptic depression
Regulation of retrograde trans-synaptic signaling by endocanabinoid
Regulation of endocannabinoid signaling pathway","Membrane
Mitochondrion
Endosome
Mitochondrial membrane
Lysosome
Lysosomal membrane
Plasma membrane
Late endosome membrane
Postsynaptic membrane
Glutamatergic synapse
Gaba-ergic synapse
Ampa glutamate receptor complex",ENSG00000163686,"abhydrolase domain containing 6, acylglycerol lipase",protein_coding
ABI3BP,"Protein binding
Collagen binding
Glycosaminoglycan binding
Heparin binding
Extracellular matrix structural constituent","Negative regulation of cell population proliferation
Positive regulation of cell-substrate adhesion
Extracellular matrix organization
Negative regulation of connective tissue replacement involved in inflammatory response wound healing
Positive regulation of cardiocyte differentiation","Interstitial matrix
Extracellular matrix
Extracellular space
Extracellular region
Collagen-containing extracellular matrix",ENSG00000154175,ABI family member 3 binding protein,protein_coding
ABL1,"Atp binding
Protein binding
Protein kinase activity
Protein tyrosine kinase activity
Non-membrane spanning protein tyrosine kinase activity
Metal ion binding
Sh3 domain binding
Kinase activity
Dna binding
Magnesium ion binding
Nicotinate-nucleotide adenylyltransferase activity
Manganese ion binding
Sequence-specific double-stranded dna binding
Actin monomer binding
Syntaxin binding
Transcription coactivator activity
Proline-rich region binding
Phosphotyrosine residue binding
Four-way junction dna binding
Bubble dna binding
Protein kinase c binding
Neuropilin binding
Sh2 domain binding
Ephrin receptor binding
Mitogen-activated protein kinase binding
Protein kinase binding
Protein domain specific binding
Actin filament binding
Delta-catenin binding","Protein phosphorylation
Endocytosis
Positive regulation of protein phosphorylation
Protein modification process
Autophagy
Apoptotic process
Cell adhesion
Cell communication
Signaling
Dna repair
Dna damage response
Regulation of cell adhesion
Actin cytoskeleton organization
Regulation of cell motility
Regulation of cellular component organization
Regulation of endocytosis
Regulation of actin cytoskeleton organization
Negative regulation of double-strand break repair via homologous recombination
Positive regulation of transcription by rna polymerase ii
Positive regulation of apoptotic process
Regulation of autophagy
Positive regulation of endothelial cell migration
Signal transduction in response to dna damage
Integrin-mediated signaling pathway
Regulation of cdc42 protein signal transduction
Neuropilin signaling pathway
Positive regulation of stress fiber assembly
Positive regulation of focal adhesion assembly
Positive regulation of substrate adhesion-dependent cell spreading
Endothelial cell migration
Fc-gamma receptor signaling pathway involved in phagocytosis
Epidermal growth factor receptor signaling pathway
Regulation of dna-templated transcription
Regulation of cell cycle
Mismatch repair
Intrinsic apoptotic signaling pathway in response to dna damage
Positive regulation of peptidyl-tyrosine phosphorylation
Cellular response to oxidative stress
Negative regulation of long-term synaptic potentiation
Cellular response to dopamine
Peptidyl-tyrosine phosphorylation
Regulation of axon extension
Regulation of microtubule polymerization
Negative regulation of protein serine/threonine kinase activity
Protein autophosphorylation
Regulation of t cell differentiation
Response to oxidative stress
Positive regulation of cytosolic calcium ion concentration
Phospholipase c-inhibiting g protein-coupled receptor signaling pathway
Negative regulation of ubiquitin-protein transferase activity
Mitotic cell cycle
Platelet-derived growth factor receptor-beta signaling pathway
Peptidyl-tyrosine autophosphorylation
Positive regulation of oxidoreductase activity
Mitochondrial depolarization
Cellular response to hydrogen peroxide
Dna conformation change
Regulation of hematopoietic stem cell differentiation
Positive regulation of establishment of t cell polarity
Protein localization to cytoplasmic microtubule plus-end
Positive regulation of microtubule binding
Positive regulation of actin filament binding
Regulation of modification of synaptic structure
Activation of protein kinase c activity
Positive regulation of t cell migration
Neural tube closure
B-1 b cell homeostasis
B cell proliferation involved in immune response
Transitional one stage b cell differentiation
Phagocytosis
Canonical nf-kappab signal transduction
Learning or memory
Associative learning
Response to xenobiotic stimulus
Post-embryonic development
Cerebellum morphogenesis
Negative regulation of cell-cell adhesion
Microspike assembly
Actin filament polymerization
Neuron differentiation
Bmp signaling pathway
Negative regulation of bmp signaling pathway
Positive regulation of type ii interferon production
Positive regulation of interleukin-2 production
Positive regulation of osteoblast proliferation
Substrate adhesion-dependent cell spreading
Response to endoplasmic reticulum stress
B cell proliferation
Regulation of cell population proliferation
Positive regulation of canonical nf-kappab signal transduction
Positive regulation of neuron apoptotic process
Positive regulation of vasoconstriction
Negative regulation of mitotic cell cycle
Positive regulation of mitotic cell cycle
Alpha-beta t cell differentiation
Platelet-derived growth factor receptor signaling pathway
Positive regulation of fibroblast proliferation
Spleen development
Thymus development
Activated t cell proliferation
T cell receptor signaling pathway
B cell receptor signaling pathway
Neuromuscular process controlling balance
Positive regulation of release of sequestered calcium ion into cytosol
Neuron apoptotic process
Myoblast proliferation
Establishment of localization in cell
Bergmann glial cell differentiation
Cardiac muscle cell proliferation
Neuroepithelial cell differentiation
Erk1 and erk2 cascade
Negative regulation of erk1 and erk2 cascade
Positive regulation of erk1 and erk2 cascade
Cellular response to lipopolysaccharide
Cellular response to transforming growth factor beta stimulus
Response to epinephrine
Circulatory system development
Positive regulation of cell migration involved in sprouting angiogenesis
Cellular senescence
Cell-cell adhesion
Regulation of postsynaptic specialization assembly
Positive regulation of dendrite development
Regulation of extracellular matrix organization
Positive regulation of extracellular matrix organization
Podocyte apoptotic process
Dn4 thymocyte differentiation
Positive regulation of blood vessel branching
Positive regulation of wnt signaling pathway, planar cell polarity pathway
Negative regulation of endothelial cell apoptotic process
Regulation of cellular senescence
Negative regulation of cellular senescence","Nucleus
Cytoplasm
Membrane
Nucleoplasm
Mitochondrion
Cytoskeleton
Nuclear body
Nuclear membrane
Perinuclear region of cytoplasm
Cytosol
Plasma membrane
Actin cytoskeleton
Neuronal cell body
Protein-containing complex
Dendrite
Nucleolus
Postsynapse
Ruffle
Postsynaptic density
Growth cone
Cell leading edge
Glutamatergic synapse",ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase",protein_coding
ABO,"Hexosyltransferase activity
Metal ion binding
Glycosyltransferase activity",Carbohydrate metabolic process,Membrane,ENSG00000281879,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",protein_coding
ABRA,"Actin binding
Protein binding","Positive regulation of rho protein signal transduction
Protein transport
Positive regulation of transcription by rna polymerase ii
Actin cytoskeleton organization
Transcription by rna polymerase ii
Protein import into nucleus
Positive regulation of dna-templated transcription","Cytoplasm
Cytoskeleton
Sarcomere
Plasma membrane
Actin cytoskeleton
Myofibril",ENSG00000174429,actin binding Rho activating protein,protein_coding
ABRACL,,Regulation of actin filament-based process,,ENSG00000146386,ABRA C-terminal like,protein_coding
ACAD10,"Flavin adenine dinucleotide binding
Oxidoreductase activity, acting on the ch-ch group of donors
Oxidoreductase activity
Acyl-coa dehydrogenase activity","Fatty acid beta-oxidation using acyl-coa dehydrogenase
Fatty acid beta-oxidation","Mitochondrion
Cytoplasm
Mitochondrial matrix",ENSG00000111271,acyl-CoA dehydrogenase family member 10,protein_coding
ACAD9-DT,,,,ENSG00000287110,ACAD9 divergent transcript,lncRNA
ACADS,"Flavin adenine dinucleotide binding
Oxidoreductase activity, acting on the ch-ch group of donors
Acyl-coa dehydrogenase activity
Protein binding
Oxidoreductase activity
Short-chain fatty acyl-coa dehydrogenase activity","Fatty acid metabolic process
Fatty acid beta-oxidation using acyl-coa dehydrogenase
Fatty acid beta-oxidation
Butyrate catabolic process","Nucleus
Nucleoplasm
Mitochondrion
Centrosome
Mitochondrial matrix",ENSG00000122971,acyl-CoA dehydrogenase short chain,protein_coding
ACBD4,"Fatty-acyl-coa binding
Lipid binding
Protein binding",Fatty acid metabolic process,"Cytoplasm
Membrane",ENSG00000181513,acyl-CoA binding domain containing 4,protein_coding
